class,precision,recall,f1_score,support
1,0.98,0.98,0.98,1453.0
2,0.88,0.82,0.85,1808.0
3,0.76,0.68,0.72,1860.0
4,0.71,0.76,0.73,976.0
5,0.53,0.65,0.58,1185.0
