class,precision,recall,f1_score,support
1,0.98,0.98,0.98,2376.0
2,0.85,0.78,0.82,2487.0
3,0.68,0.9,0.78,1643.0
4,0.94,0.68,0.79,2522.0
5,0.69,0.82,0.75,2031.0
