class,precision,recall,f1_score,support
1,0.98,0.95,0.97,814.0
2,0.83,0.81,0.82,1267.0
3,0.86,0.5,0.63,1892.0
4,0.81,0.94,0.87,1069.0
5,0.47,0.77,0.58,1026.0
