class,precision,recall,f1_score,support
1,1.0,0.67,0.8,1307.0
2,0.45,0.76,0.57,630.0
3,0.26,0.33,0.29,756.0
4,0.71,0.51,0.59,884.0
5,0.51,0.54,0.52,954.0
