class,precision,recall,f1_score,support
1,0.95,0.94,0.95,2953.0
2,0.65,0.81,0.72,2657.0
3,0.62,0.46,0.53,2239.0
4,0.7,0.74,0.72,1208.0
5,0.48,0.44,0.46,1763.0
