class,precision,recall,f1_score,support
1,0.99,0.97,0.98,985.0
2,0.92,0.82,0.87,1410.0
3,0.51,0.68,0.58,777.0
4,0.83,0.83,0.83,676.0
5,0.74,0.67,0.7,1124.0
