class,precision,recall,f1_score,support
1,0.97,1.0,0.98,789.0
2,0.9,0.67,0.77,1097.0
3,0.44,0.53,0.48,549.0
4,0.59,0.81,0.68,291.0
5,0.4,0.42,0.41,612.0
