class,precision,recall,f1_score,support
1,0.99,0.9,0.94,886.0
2,0.85,0.62,0.72,1439.0
3,0.64,0.39,0.49,1477.0
4,0.42,0.91,0.57,497.0
5,0.38,0.54,0.45,1075.0
