class,precision,recall,f1_score,support
1,0.98,0.98,0.98,637.0
2,0.82,0.71,0.76,971.0
3,0.67,0.69,0.68,660.0
4,0.87,0.79,0.82,706.0
5,0.64,0.83,0.72,624.0
