class,precision,recall,f1_score,support
1,0.99,0.93,0.96,611.0
2,0.9,0.82,0.86,896.0
3,0.81,0.85,0.83,686.0
4,0.87,0.92,0.89,661.0
5,0.82,0.86,0.84,1019.0
