class,precision,recall,f1_score,support
1,0.98,0.93,0.95,891.0
2,0.77,0.8,0.78,993.0
3,0.52,0.55,0.54,523.0
4,0.52,0.82,0.63,244.0
5,0.73,0.57,0.64,795.0
