class,precision,recall,f1_score,support
1,0.96,0.94,0.95,2951.0
2,0.91,0.83,0.87,4802.0
3,0.89,0.84,0.86,3890.0
4,0.89,0.93,0.91,3448.0
5,0.83,0.91,0.87,5123.0
