class,precision,recall,f1_score,support
1,0.85,0.97,0.91,8385.0
2,0.61,0.77,0.68,8374.0
3,0.89,0.68,0.77,9193.0
4,0.83,0.55,0.66,8953.0
5,0.59,0.79,0.68,5394.0
