class,precision,recall,f1_score,support
1,0.97,0.97,0.97,679.0
2,0.72,0.71,0.72,735.0
3,0.43,0.47,0.45,432.0
4,0.69,0.68,0.68,461.0
5,0.55,0.53,0.54,610.0
