class,precision,recall,f1_score,support
1,0.59,0.94,0.72,1307.0
2,0.74,0.84,0.79,2155.0
3,0.92,0.69,0.79,1981.0
4,0.56,0.38,0.45,1560.0
5,0.84,0.8,0.82,1474.0
