class,precision,recall,f1_score,support
1,0.84,0.98,0.9,1964.0
2,0.86,0.84,0.85,2426.0
3,0.82,0.82,0.82,2031.0
4,0.83,0.79,0.81,1186.0
5,0.85,0.75,0.8,1985.0
