class,precision,recall,f1_score,support
1,1.0,0.97,0.99,938.0
2,0.87,0.94,0.9,1124.0
3,0.87,0.88,0.87,933.0
4,0.93,0.82,0.87,966.0
5,0.89,0.92,0.9,1143.0
