class,precision,recall,f1_score,support
1,0.73,1.0,0.84,5864.0
2,0.91,0.78,0.84,9535.0
3,0.86,0.87,0.86,6647.0
4,0.66,0.75,0.7,3361.0
5,0.8,0.66,0.72,8056.0
