class,precision,recall,f1_score,support
1,1.0,0.97,0.98,872.0
2,0.94,0.83,0.88,1204.0
3,0.64,0.86,0.74,699.0
4,0.98,0.79,0.88,653.0
5,0.81,0.88,0.85,867.0
