class,precision,recall,f1_score,support
1,0.95,0.99,0.97,4949.0
2,0.86,0.82,0.84,7002.0
3,0.74,0.63,0.68,7266.0
4,0.86,0.95,0.9,4473.0
5,0.67,0.74,0.7,5327.0
