class,precision,recall,f1_score,support
1,0.95,0.98,0.96,1532.0
2,0.65,0.8,0.72,1557.0
3,0.38,0.38,0.38,1523.0
4,0.87,0.57,0.69,1675.0
5,0.44,0.49,0.46,1480.0
