class,precision,recall,f1_score,support
1,0.91,0.96,0.93,3108.0
2,0.7,0.71,0.71,3914.0
3,0.78,0.77,0.77,2648.0
4,0.83,0.71,0.77,2673.0
5,0.71,0.77,0.74,2638.0
