class,precision,recall,f1_score,support
1,0.99,0.97,0.98,1056.0
2,0.9,0.72,0.8,1345.0
3,0.6,0.62,0.61,847.0
4,0.38,0.9,0.53,193.0
5,0.56,0.54,0.55,790.0
