class,precision,recall,f1_score,support
1,0.98,0.97,0.98,1082.0
2,0.86,0.8,0.83,1284.0
3,0.63,0.89,0.74,738.0
4,0.88,0.75,0.81,743.0
5,0.82,0.76,0.79,1186.0
