class,precision,recall,f1_score,support
1,0.99,0.99,0.99,1156.0
2,0.92,0.86,0.89,1382.0
3,0.82,0.77,0.8,1140.0
4,0.84,0.94,0.88,610.0
5,0.69,0.77,0.73,864.0
