class,precision,recall,f1_score,support
1,1.0,0.95,0.98,1039.0
2,0.92,0.68,0.78,1694.0
3,0.04,0.66,0.08,76.0
4,0.62,0.88,0.73,523.0
5,0.69,0.38,0.49,1845.0
