class,precision,recall,f1_score,support
1,0.87,0.9,0.89,1098.0
2,0.82,0.77,0.8,1617.0
3,0.86,0.63,0.72,1938.0
4,0.66,0.88,0.75,806.0
5,0.63,0.78,0.69,1318.0
