class,precision,recall,f1_score,support
1,0.98,0.99,0.98,876.0
2,0.95,0.67,0.79,1274.0
3,0.7,0.83,0.76,735.0
4,0.74,0.88,0.8,458.0
5,0.67,0.79,0.73,753.0
