class,precision,recall,f1_score,support
1,0.99,0.99,0.99,757.0
2,0.86,0.95,0.9,712.0
3,0.66,0.72,0.69,527.0
4,0.89,0.91,0.9,487.0
5,0.8,0.67,0.73,758.0
