class,precision,recall,f1_score,support
1,0.95,0.97,0.96,1447.0
2,0.71,0.93,0.8,1348.0
3,0.84,0.78,0.81,1364.0
4,0.79,0.62,0.69,954.0
5,0.81,0.7,0.75,1162.0
