class,precision,recall,f1_score,support
1,0.53,0.93,0.68,2308.0
2,0.7,0.89,0.79,3555.0
3,0.88,0.82,0.85,2472.0
4,0.76,0.36,0.49,3683.0
5,0.94,0.76,0.84,3123.0
