class,precision,recall,f1_score,support
1,0.97,0.96,0.96,2235.0
2,0.76,0.79,0.78,3092.0
3,0.69,0.8,0.74,2367.0
4,0.88,0.77,0.82,3064.0
5,0.82,0.8,0.81,3845.0
