class,precision,recall,f1_score,support
1,0.98,0.96,0.97,799.0
2,0.71,0.84,0.77,904.0
3,0.68,0.72,0.7,877.0
4,0.85,0.71,0.77,1015.0
5,0.79,0.78,0.78,1344.0
