class,precision,recall,f1_score,support
1,0.94,0.96,0.95,1253.0
2,0.77,0.71,0.74,1843.0
3,0.72,0.82,0.77,1359.0
4,0.83,0.78,0.8,1741.0
5,0.81,0.82,0.82,2189.0
