class,precision,recall,f1_score,support
1,0.99,0.99,0.99,603.0
2,0.88,0.86,0.87,616.0
3,0.44,0.86,0.58,283.0
4,0.93,0.82,0.87,430.0
5,0.87,0.63,0.73,768.0
