class,precision,recall,f1_score,support
1,0.79,0.99,0.88,1331.0
2,0.92,0.85,0.88,1947.0
3,0.86,0.8,0.83,1888.0
4,0.76,0.76,0.76,1105.0
5,0.86,0.82,0.84,1557.0
