class,precision,recall,f1_score,support
1,0.99,0.92,0.95,1090.0
2,0.93,0.67,0.78,1634.0
3,0.21,0.7,0.32,337.0
4,0.22,0.87,0.35,165.0
5,0.8,0.45,0.57,1742.0
