class,precision,recall,f1_score,support
1,0.95,1.0,0.97,5309.0
2,0.8,0.83,0.82,7311.0
3,0.7,0.68,0.69,7673.0
4,0.87,0.88,0.87,6776.0
5,0.72,0.69,0.7,8083.0
