class,precision,recall,f1_score,support
1,0.99,0.98,0.98,400.0
2,0.83,0.72,0.77,446.0
3,0.7,0.51,0.59,360.0
4,0.66,0.94,0.77,183.0
5,0.43,0.57,0.49,250.0
