class,precision,recall,f1_score,support
1,1.0,1.0,1.0,1695.0
2,0.92,0.96,0.94,2776.0
3,0.86,0.85,0.85,2723.0
4,0.9,0.95,0.92,2152.0
5,0.86,0.8,0.83,2949.0
