class,precision,recall,f1_score,support
1,1.0,0.97,0.99,2005.0
2,0.95,0.94,0.94,2477.0
3,0.67,0.75,0.71,1864.0
4,0.86,0.98,0.91,1629.0
5,0.83,0.72,0.77,2879.0
