class,precision,recall,f1_score,support
1,0.95,0.99,0.97,1153.0
2,0.81,0.69,0.75,1673.0
3,0.6,0.64,0.62,1300.0
4,0.83,0.68,0.75,1154.0
5,0.51,0.67,0.58,1055.0
