class,precision,recall,f1_score,support
1,0.96,0.99,0.98,1836.0
2,0.83,0.81,0.82,2345.0
3,0.61,0.76,0.68,1451.0
4,0.89,0.82,0.86,1663.0
5,0.74,0.65,0.69,1999.0
