class,precision,recall,f1_score,support
1,0.95,0.98,0.97,1050.0
2,0.81,0.79,0.8,1225.0
3,0.41,0.64,0.5,717.0
4,0.41,0.58,0.48,564.0
5,0.71,0.42,0.53,1610.0
